C—digo SISSA,N¡ Partos,CONE  Q,CONE  A, CONE  S,CONE  PM,CONE  PN,CONE  RMN,CONE  T,Regi—n Sanitaria
10060562100237,2500,1,1,1,1,1,1,0,REGION I
10066022200284,1580,1,1,9,1,1,1,1,REGION I
10067002200377,142,1,1,1,1,1,1,1,REGION I
10060072200261,150,1,1,1,1,1,1,1,REGION I
10063992200305,77,1,1,1,1,1,1,1,REGION I
10066022200243,30,0,0,0,0,1,1,1,REGION I
10068332200014,999999,9,9,9,9,9,9,9,REGION I
10068192200295,999999,9,9,9,9,9,9,9,REGION I
10061822200259,999999,9,9,9,9,9,9,9,REGION I
10061962200213,999999,9,9,9,9,9,9,9,REGION I
10061892200329,999999,9,9,9,9,9,9,9,REGION I
10062032200268,999999,9,9,9,9,9,9,9,REGION I
10066092200380,235,1,1,1,1,1,1,1,REGION II
10062312200312,307,1,1,1,1,1,1,1,REGION II
10065882100362,324,1,1,1,1,1,1,1,REGION II
10067212200334,180,1,1,1,1,1,1,1,REGION II
10064062200315,90,1,1,1,1,1,1,1,REGION II
10061542200221,80,1,1,1,0,1,1,1,REGION II
10066162200210,999999,9,9,9,9,9,9,9,REGION II
10068262200214,999999,9,9,9,9,9,9,9,REGION II
10068472200209,3,0,0,0,1,0,0,1,REGION II
10064132100381,732,1,1,1,1,1,1,1,REGION III
10062102200358,607,1,1,1,1,1,1,1,REGION III
10064622200328,46,1,1,1,1,1,1,1,REGION III
10063852200357,97,1,1,1,1,1,1,1,REGION III
10062942200304,999999,9,9,9,9,9,9,9,REGION III
10064692200359,243,0,1,1,1,1,1,1,REGION III
10063512200270,55,1,1,1,1,1,1,1,REGION III
10067632100395,1167,1,1,1,1,1,1,1,REGION IV
10066232100236,1005,1,1,1,1,1,1,1,REGION IV
10067142207129,131,1,1,1,1,1,1,1,REGION IV
10066862200369,215,1,1,1,1,1,1,1,REGION IV
10061752200289,246,1,1,1,1,1,1,1,REGION IV
10061612100255,156,1,1,1,1,1,1,1,REGION IV
10066652200326,273,1,1,1,1,1,1,1,REGION IV
10060772200340,438,1,1,9,1,0,1,0,REGION IV
10067352200316,302,1,1,1,1,0,1,1,REGION IV
10067702200368,602,1,1,0,1,1,1,1,REGION IV
10061402200336,999999,9,9,9,9,9,9,9,REGION IV
10068052200203,2114,1,1,1,1,1,1,0,REGION V
10063712100230,1500,1,1,1,1,1,1,1,REGION V
12067562200554,2077,1,1,1,1,1,1,1,REGION V
10068822100396,1324,1,1,1,1,1,1,1,REGION V
12068612200559,2246,1,1,1,1,1,1,1,REGION V
10067602200313,2502,1,1,1,1,1,1,1,REGION V
12066382200552,4000,1,1,1,1,1,1,1,REGION V
10064122100400,3196,1,1,1,1,1,1,1,REGION V
12065152200556,3296,1,1,1,1,1,1,1,REGION V
10063712200299,851,1,1,1,1,1,1,1,REGION V
10062522100384,2408,1,1,1,1,1,1,1,REGION V
10062662207080,412,1,1,1,1,1,1,1,REGION V
10063712100390,941,1,1,1,1,1,1,1,REGION V
10067492100393,1647,1,1,1,1,1,1,1,REGION V
10061262200484,1000,1,1,1,1,1,1,1,REGION V
10060912100383,3028,1,1,1,1,1,1,0,REGION VI
10064342100231,3179,1,1,1,1,1,1,1,REGION VI
10060582100385,2569,1,1,1,1,1,1,1,REGION VI
10062742100225,4865,1,1,1,1,1,1,1,REGION VI
10060282100397,999999,9,9,9,9,9,9,9,REGION VI
10062702100403,2363,1,1,1,1,1,1,1,REGION VI
10060352100233,1501,1,1,1,1,1,1,1,REGION VI
10062602200434,1996,1,1,1,1,1,1,1,REGION VI
12060582200557,2317,1,1,1,1,1,0,0,REGION VI
12060352100558,2970,1,1,0,0,1,1,0,REGION VI
10064902100232,2050,1,1,1,1,1,1,1,REGION VI
10060282100389,1782,1,1,1,1,1,1,1,REGION VI
10064342100392,1569,1,1,1,1,1,1,1,REGION VI
10060352100229,999999,9,9,9,9,9,9,9,REGION VI
12064902200551,898,1,1,1,1,1,1,0,REGION VI
