C—digo SISSA,N¡ Partos,CONE  Q,CONE  A, CONE  S,CONE  PM,CONE  PN,CONE  RMN,CONE  T
10221402126044,5115,1,1,1,1,1,1,1
10220212126069,2888,1,1,1,1,1,1,1
10220632126056,999999,9,9,9,9,9,9,9
10221052126070,450,1,1,1,1,1,1,1
10220842126052,711,1,1,0,1,1,1,0
10221332126041,869,1,1,0,1,1,1,1
10220982126049,999999,9,9,9,9,9,9,9
10220702126040,81,0,0,0,1,1,0,1
10220702126042,21,0,0,0,0,1,1,1
10221612126064,11,0,0,0,0,1,1,1
10221542126036,65,0,0,0,0,1,1,1
10220072126026,60,0,0,0,1,1,1,0
10220982126027,108,,,,,,,
10220392126034,221,0,0,0,0,1,1,1
10220562126037,70,,,,,,,
10220142126032,249,0,0,0,0,0,0,0
10220562126031,87,,,,,,,
10220842126038,28,0,0,0,0,0,0,0
10221542126046,71,0,0,0,0,1,1,1
10220072126061,226,0,0,0,1,1,1,1
10221682126033,267,1,1,0,0,1,1,1
10220562126055,41,0,0,0,0,1,1,1
10220432126053,112,9,9,9,9,9,9,9
10220632126063,98,0,0,0,0,1,1,1
10220072126022,241,0,0,0,0,1,1,1
10220142126043,54,0,0,0,0,1,1,1
10220632126035,80,0,0,0,0,1,1,1
10220072126021,115,0,0,0,0,1,1,1
10220842126029,194,9,9,9,9,9,9,9
10220772126039,51,0,0,0,0,1,1,1
10220912126045,263,9,9,9,9,9,9,9
10220142126058,12,0,0,0,0,0,1,1
10220982126049,1092,1,1,1,1,1,1,1
10220362126060,210,0,0,0,1,1,0,1
10221192126048,281,0,0,0,0,1,1,1
10221542126067,107,0,0,0,0,1,1,1
10220492126057,132,0,0,0,0,0,0,0
10220282126051,570,0,0,0,0,0,0,0
10220632126056,440,1,1,1,1,1,1,1
10220142126043,54,0,0,0,0,0,0,0
10220842126065,999999,9,9,9,9,9,9,9
10221472126066,311,0,0,0,0,1,0,1
10221122126047,275,1,1,1,1,1,1,1
