C—digo SISSA,N¡ Partos,CONE  Q,CONE  A, CONE  S,CONE  PM,CONE  PN,CONE  RMN,CONE  T
12140142131345,6171,1,1,1,1,1,1,1
10140142131240,2300,1,1,1,1,1,1,1
12140142131346,4926,1,1,1,1,1,1,1
12140982231344,1118,1,1,1,1,1,1,0
10141402231175,265,1,1,1,1,1,1,1
10140632131162,225,1,1,1,1,1,1,1
10141822131149,379,1,1,1,1,1,1,1
10140912231199,103,1,1,1,1,1,1,1
10140282131157,649,1,1,1,1,1,1,1
10140492131248,334,1,1,1,1,1,1,1
50140212232547,111,1,1,1,1,1,1,1
10140562131270,145,1,1,1,1,1,1,1
10140912231213,202,1,1,1,1,1,1,1
10140842131252,251,1,1,1,1,1,1,1
10141402231185,277,1,1,1,1,1,1,1
10141402231193,238,1,1,1,1,1,1,1
10141612131268,100,1,1,1,1,1,1,1
10140982131246,676,1,1,1,1,1,1,1
10141612131269,602,1,1,1,1,1,1,1
10141402131250,999,1,1,1,1,1,1,1
10140912131247,723,1,1,1,1,1,1,1
10140912231191,321,1,1,1,1,1,1,1
10141332131254,767,1,1,1,1,1,1,1
10140422131251,891,1,1,1,1,1,1,1
10140352231209,197,1,1,1,1,1,1,1
10140072131249,332,1,1,1,1,1,1,1
10141192131257,301,1,1,1,1,1,1,1
10140982231153,0,1,1,1,0,0,1,1
10140562231262,51,1,1,1,1,1,1,1
10140352231197,32,0,0,1,1,1,1,1
10141682231232,34,0,0,0,0,1,1,1
10141262231217,136,0,0,1,0,1,0,1
10141052231219,5,0,1,1,0,0,1,1
10141192231225,54,1,1,1,1,1,1,1
10140492231222,10,0,0,0,0,1,1,1
10140982231211,5,0,0,0,0,1,1,1
10140212231168,254,1,1,1,1,1,0,1
10140982231265,104,0,0,0,1,1,1,1
50140632232124,98,1,1,1,1,1,1,1
10141472231184,2,0,0,0,0,1,1,1
10140632231178,2,0,0,0,0,0,0,0
10140562231154,52,1,1,1,0,1,1,1
10140562231151,27,1,1,1,1,1,1,1
10140212131253,880,0,0,0,0,0,0,0
10140912231171,10,0,0,0,0,1,1,1
10141402231187,14,0,0,1,0,1,1,1
10140632231230,26,1,1,1,1,1,1,1
10141822231231,10,0,0,0,0,0,0,1
10140842231152,12,0,0,0,0,0,0,0
50141612232104,0,0,0,0,0,0,0,1
10140282231237,3,0,0,0,0,0,0,0
10140632131167,121,1,1,1,1,1,1,1
10141822231229,0,0,0,0,0,0,0,0
10141052231214,15,1,0,0,0,0,1,1
10141192231238,14,0,0,0,0,1,1,1
10141752131263,50,0,0,0,0,1,1,1
10141052131258,201,1,1,1,1,1,0,1
10141402231226,50,1,1,1,1,1,0,1
10141822231227,98,1,1,1,0,1,1,1
10140912231163,10,0,0,0,0,0,0,0
10140632231170,36,1,1,0,1,1,1,1
50141402231931,84,1,1,1,1,1,1,1
10140422231000,9,0,0,0,0,0,1,1
10140632231208,26,1,1,1,1,1,1,1
10141822231215,30,1,1,1,1,1,1,1
10140702231244,15,0,0,0,1,0,0,1
10141542231224,0,0,0,0,0,1,1,1
10140282231173,10,0,0,0,0,0,1,1
10140352231186,60,1,1,1,1,1,1,1
10140632231172,6,1,1,1,1,1,1,1
10140982231174,0,0,0,0,0,0,0,0
10140352231177,5,0,0,0,0,0,0,0
10141192231203,24,1,1,1,1,1,1,1
10660982173043,84,1,1,1,1,1,1,1
10141822231221,8,0,0,0,0,0,0,0
10140562231236,31,1,1,0,1,1,1,1
