C—digo SISSA,N¡ Partos,CONE  Q,CONE  A, CONE  S,CONE  PM,CONE  PN,CONE  RMN,CONE  T
10180212139042,3190,1,1,1,1,1,1,1
10180702139048,1624,1,1,1,1,1,1,1
10180072139023,619,1,1,1,1,1,1,1
10181262139025,805,1,1,1,1,1,1,1
10180352139032,782,1,1,1,1,1,1,0
10180212139021,1676,1,1,1,1,1,1,1
10181192139051,769,1,1,1,1,1,1,1
10181682139052,846,1,1,1,1,1,1,1
10181052139046,576,1,1,1,1,1,1,1
10180842139037,493,1,1,0,1,1,1,1
10181122139049,290,1,1,1,0,1,0,0
10180982139026,84,0,0,1,1,1,1,1
10180632139057,60,0,0,0,1,1,1,1
10180772139038,87,0,0,1,1,1,1,1
10181542139043,116,0,0,0,0,1,1,1
10180912139034,200,0,0,0,0,0,0,0
10180282139059,150,0,0,1,0,1,0,1
10181752139058,92,0,0,0,0,0,0,0
10181682139036,624,1,0,9,1,1,1,1
10180492139056,440,1,1,0,1,1,1,1
