C—digo SISSA,N¡ Partos,CONE  Q,CONE  A, CONE  S,CONE  PM,CONE  PN,CONE  RMN,CONE  T
12300842142117,2183,1,1,1,1,1,1,1
10300152142599,2172,1,1,1,1,1,1,1
10300562142026,993,1,1,1,1,1,1,1
10300982142050,789,1,1,1,1,1,1,1
10301052142041,430,1,1,1,1,1,1,1
10300082142064,290,1,1,1,1,1,1,1
10301132142079,570,1,1,1,1,1,1,1
10300282142077,493,1,1,9,1,1,1,1
10300702142082,402,1,1,1,1,1,0,1
10300422142043,360,0,1,0,1,1,1,1
10300492142063,528,1,1,0,1,1,0,1
10300772142065,480,1,1,1,1,1,0,1
10300842142032,75,0,0,0,1,0,0,1
10300352142029,43,0,0,0,0,0,0,1
10300702142037,48,0,0,0,0,0,0,0
10300912142039,84,0,0,0,1,0,0,1
10300842142034,94,0,0,0,1,1,0,0
10300912142052,60,0,0,0,0,0,0,1
10300562142067,79,0,0,0,0,0,0,1
10300562142044,74,0,0,0,0,1,0,1
10300212142054,100,9,9,9,9,9,9,9
10300212142081,269,0,1,1,1,1,0,1
10300282142068,360,0,0,0,1,0,0,0
10300082142069,88,0,0,0,0,1,0,0
10300842142080,0,0,0,0,0,1,0,1
10301132142046,40,0,0,0,0,0,0,0
10300702142070,250,0,0,0,0,0,0,0
10300882142071,380,0,0,0,1,1,0,0
10300912142072,245,0,1,0,1,0,0,0
10300982142061,182,0,0,1,1,1,0,1
10300842142066,134,1,1,1,1,1,0,0
10300632142056,42,0,0,0,0,0,0,0
10300842142033,120,0,0,1,1,1,0,1
10300702142075,360,0,0,1,1,1,0,1
10300912142055,18,0,0,0,0,0,0,0
10300492142057,63,0,0,0,0,0,0,1
10300082142073,230,9,9,9,9,9,9,9
10300282142074,150,0,0,0,0,0,0,0
10300632142025,70,0,0,0,0,1,0,1
10300352142051,395,0,1,1,1,1,0,1
