C—digo SISSA,N¡ Partos,CONE  Q,CONE  A, CONE  S,CONE  PM,CONE  PN,CONE  RMN,CONE  T
10380212150028,3803,1,1,1,1,1,1,1
10380352150020,997,1,1,1,1,1,0,1
10380632150018,1091,1,1,1,1,1,1,1
10380282150021,247,0,0,1,1,1,1,1
10381122150019,580,1,1,1,1,1,1,1
10380142150017,480,0,0,0,0,0,1,0
10380842150024,78,0,0,1,1,1,1,1
10380072150026,231,0,0,1,1,1,1,1
10380352150016,17,0,0,0,0,0,0,0
10380142150025,283,0,0,1,1,1,1,1
10380352150029,116,0,0,0,0,1,0,1
10380942150023,81,0,0,1,1,1,1,1
10380702150027,47,0,0,0,1,1,1,1
10380422150032,299,0,0,1,1,1,1,1
10380212150031,733,0,1,1,1,1,1,0
10380942150014,140,0,0,1,1,1,1,1
10380352150030,65,0,0,0,0,1,1,1
