C—digo SISSA,N¡ Partos,CONE  Q,CONE  A, CONE  S,CONE  PM,CONE  PN,CONE  RMN,CONE  T
10421052153035,783,1,1,1,1,1,1,1
10420212153025,1189,1,1,1,1,1,1,1
10421542153040,118,1,1,1,1,1,1,1
10421122153020,73,1,1,1,1,1,1,1
10420702153017,0,0,0,0,0,1,0,1
10420562153041,38,0,0,1,0,1,0,1
10421472153012,1,0,0,0,0,1,0,1
10421332153024,2,0,0,0,0,1,0,1
10421262153039,2,0,0,0,0,1,0,1
10420072153019,5,0,0,0,0,1,0,1
10421262153015,5,0,0,0,0,1,0,1
10421192153013,15,0,0,0,0,1,0,1
10421262153021,1,0,0,0,0,1,0,1
10421332153043,135,1,1,1,0,1,0,1
10420072153014,1,0,0,0,0,0,0,0
10420772153027,0,0,0,0,0,1,0,1
10421472153018,3,0,0,0,0,0,0,1
10420982153038,106,9,9,9,9,9,9,9
10420352153037,1,0,0,0,0,1,0,1
10421192153044,0,0,0,0,0,1,0,1
10420352153030,68,0,0,1,0,1,0,1
10420702153028,106,1,1,1,0,1,0,1
10420282153031,0,0,0,0,0,1,0,1
10421402153042,8,0,0,0,0,1,0,1
10420772153033,3,0,0,0,0,1,0,1
10421262153026,4,0,0,0,0,1,0,1
10420282153010,6,0,0,0,0,1,0,1
10420072153032,3,0,0,0,0,1,0,1
10420772153022,2,0,0,0,0,1,0,1
10420492153029,3,0,0,0,0,1,0,1
