C—digo SISSA,N¡ Partos,CONE  Q,CONE  A, CONE  S,CONE  PM,CONE  PN,CONE  RMN,CONE  T
10500072157046,6000,1,1,1,1,1,1,1
10500702157026,3200,1,1,1,1,1,1,1
10500982157033,2151,1,0,0,1,1,1,1
10501192157034,1579,1,1,1,1,1,1,1
10501052158736,1544,1,1,1,1,1,1,1
10500142157042,742,1,1,1,1,1,1,1
10500772157032,402,1,1,9,1,1,1,1
10500842157025,551,1,1,1,1,1,1,1
10500492157028,224,0,0,0,0,1,1,1
10500562157027,386,0,0,0,0,1,1,1
10500912157382,241,0,1,1,0,0,1,1
10500422157041,55,0,0,0,1,1,1,1
10501122157035,98,0,0,0,0,1,1,1
