C—digo SISSA,N¡ Partos,CONE  Q,CONE  A, CONE  S,CONE  PM,CONE  PN,CONE  RMN,CONE  T
10540282165124,4350,1,1,1,1,1,1,1
10540422164430,2717,1,1,1,1,1,1,1
10540912164476,1669,1,1,1,1,1,1,1
10540702164453,624,1,1,1,1,1,1,1
10540072164416,436,1,1,1,1,1,1,1
10540982164483,678,1,1,1,1,1,1,1
10540562164441,763,1,1,1,1,1,1,1
10541052164489,94,0,0,0,0,0,1,1
10540492164435,79,0,0,0,0,0,0,0
10540632164505,311,0,0,0,0,0,0,0
10540842164463,0,0,0,0,0,0,0,0
10540982164482,66,0,0,0,0,1,1,1
10540142164508,194,0,0,0,0,0,0,0
10540422164507,0,0,0,0,0,0,0,0
10540702164450,45,0,0,0,0,0,0,0
10540772164457,50,0,0,0,0,0,1,1
10540212164426,64,0,0,0,0,0,0,0
10540142164424,151,0,0,0,0,0,0,0
50540072264461,9,0,0,0,0,0,0,0
10540142164420,263,0,0,0,0,0,0,0
10541192164489,88,0,0,0,0,0,0,0
10541192164496,72,0,0,0,0,0,0,0
10540352164428,104,0,0,0,1,1,0,1
10540072164418,9,0,0,0,0,0,0,0
10540562164437,228,0,0,0,0,0,0,0
10541122164490,413,0,0,0,0,0,0,0
10540492164434,127,0,0,0,0,0,0,0
10540982164481,60,0,0,0,0,0,0,0
10540772164462,246,1,1,0,1,1,1,1
10540982164486,213,0,0,0,0,0,0,0
10540842165109,0,0,0,0,0,0,0,0
10540282164427,0,0,0,0,0,0,0,0
10540632164444,774,1,1,0,1,1,1,1
10540492164506,248,0,0,0,0,0,0,0
