C—digo SISSA,N¡ Partos,CONE  Q,CONE  A, CONE  S,CONE  PM,CONE  PN,CONE  RMN,CONE  T
10580352167033,1333,1,1,1,1,1,1,1
10580352167031,1316,1,1,1,1,1,1,1
10580352167014,605,1,1,1,1,1,1,1
10580422167034,415,1,1,1,1,1,1,1
10580352167035,595,1,1,1,1,1,1,1
10580492167018,284,1,1,1,1,1,1,1
10580562167036,675,1,1,1,1,1,1,1
10581122167032,683,1,1,1,1,1,1,1
10580072167010,39,0,0,0,1,1,1,1
10580842167017,26,0,0,0,0,1,1,1
10580352167028,32,0,0,0,0,1,1,1
10580212167019,8,0,0,0,0,1,1,1
10580772167021,32,0,0,0,1,1,1,1
10580912167026,83,0,0,0,1,1,0,1
10580142167027,60,0,0,0,0,1,1,1
10580702167030,42,0,0,0,1,1,1,1
10580772167011,112,0,0,0,0,1,1,1
10580912167013,39,0,0,0,1,1,1,1
10580842167016,4,0,0,0,0,0,0,0
10580632167022,52,0,0,0,1,1,1,1
10580982167009,19,0,0,0,0,1,1,1
10580282167024,999999,0,0,0,0,0,0,1
10580352167025,120,0,0,0,1,1,1,1
10580422167029,7,0,0,0,1,1,1,1
10581052167020,25,0,0,0,1,1,1,1
10581052167012,14,0,0,0,1,1,1,1
