CodProv,Provincia,DENOMINACION DINAMI,DENOMINACION REFES-SIISA,,CUIE,Cod_SISA,CODIGO REFES-SIISA,CodSISA7,Categoria,NroCateg,LetraCateg,Categ. Neonat.,Internacion,Consultorio Externo,Especialidades quirúrgicas,,Partos,Cumplimieto CONE  Q,Cumplimieto CONE  A,Cumplimieto CONE  S,Cumplimieto CONE  PM,Cumplimieto CONE  PN,Cumplimieto CONE  RMN,Cumplimieto CONE  T,% Evaluacion Obstetricia PF,% Evaluacion Obstetricia EI,% Evaluacion Obstetricia RH,% Evaluacion Obstetricia SC,% Evaluacion Obstetricia OF,% Evaluacion Obstetricia T,% Evaluacion Neo PF,% Evaluacion Neo EI,% Evaluacion Neo RH,% Evaluacion Neo SC,% Evaluacion Neo OF,% Evaluacion Neo T, Nivel Complej O/N  Nuevo
82,SANTA FE,Htal. Prov. Rosario,HOSP PROVINCIAL,2. Htal. Prov. Rosario,16602,1.08208E+13,10820842184089,8284089,III A,3,A,III A,Prematurez-BPEG (>1.500g),,,,1556,1,1,1,1,1,1,0,55,48,54,7,50,48,60,66,42,64,48,56,III / III     IIIA
82,SANTA FE,Htal Escuela E. Perón,HOSP EVA PERON,1. Htal Escuela E. Perón,01236,10820842184083,10820842184083,8284083,III B,3,B,III B,Prematurez-BPEG,Cons. Seguimiento,Cirugía Gral.,Neurocirugía,1468,1,1,1,1,1,1,0,24,73,43,71,65,52,42,73,45,0,80,56,III / III     IIIB
82,SANTA FE,Htal. Esperanza,SAMCO ESPERANZA,19. Htal. Esperanza,06808,10820702184140,10820702184140,8284140,II,2,,II,RN de término que no requiera cuidados especiales,,,,348,1,1,1,1,1,1,1,75,77,70,60,89,76,,,,,,,II / 0      II
82,SANTA FE,Htal Centenario,HOSPITAL  PROVINCIAL CENTENARIO,6. Htal. Centenario,01235,10820842184090,10820842184090,8284090,III A,3,A,III A,Prematurez-BPEG (>1.500g),,,,880,1,1,1,1,1,1,1,67,72,63,73,92,73,64,85,52,64,78,71,III / III      IIIA
82,SANTA FE,Htal. Villa Ocampo,SAMCO VILLA OCAMPO,23. Htal. Villa Ocampo,01549,10820492184148,10820492184148,8284148,II,2,,II,RN de término que no requiera cuidados especiales,,,,790,1,1,1,1,1,1,1,60,55,43,50,62,55,30,30,11,45,33,30,III / Ia      II
82,SANTA FE,Htal. Grand a Caballos,SAMCO GRANADEROS A CABALLO,11. Htal. Grand a Caball,06899,10821192184163,10821192184163,8284163,II,2,,II,RN de término que no requiera cuidados especiales,,,,480,1,1,1,1,1,1,1,66,65,45,44,54,58,,,,,,,II / 0      II
82,SANTA FE,Htal. Reconquista,HOSPITAL CENTRAL DE RECONQUISTA DRA. OLGA STUCKY DE RIZZI,10. Htal. Reconquista,01547,10820492184081,10820492184081,8284081,II,2,,III A,Prematurez-BPEG (>1.500g),,,,1487,1,0,1,1,1,1,0,19,41,33,63,52,38,56,50,26,58,50,49,III / II      II
82,SANTA FE,Htal Firmat,SAMCO GENERAL SAN MARTIN - FIRMAT,13. Htal Firmat,06857,10820422184160,10820422184160,8284160,II,2,,II,RN de término que no requiera cuidados especiales,,,,156,1,1,1,1,1,1,1,73,79,66,52,82,73,,,,,,,III / 0      II 
82,SANTA FE,Htal. Venado Tuerto,SAMCO DR A GUTIERREZ,5. Htal. Venado Tuerto,01548,10820422184155,10820422184155,8284155,II,2,,III A,Prematurez-BPEG (>1.500g),,,,946,1,1,1,1,1,1,1,46,55,57,68,84,60,41,69,50,54,62,56,III / Ib      II
82,SANTA FE,Htal. Villa Constitución,SAMCO VILLA CONSTITUCION,3. Htal. Villa Constitución,06882,10820282184072,10820282184072,8284072,II,2,,II,RN de término que no requiera cuidados especiales,,,,444,1,1,1,1,1,1,1,78,77,71,68,77,76,68,91,57,80,50,68,II / I b      II
82,SANTA FE,Htal. Cullen,HOSP DR JOSE MARIA CULLEN,21. Htal. Cullen,01293,10820632184073,10820632184073,8284073,III A,3,A,III A,Prematurez-BPEG (>1.500g),,,,2461,1,1,1,1,1,1,1,65,68,42,23,61,57,67,76,26,70,57,61,III / II      IIIA
82,SANTA FE,Htal. R. Saenz Peña,HOSP DR ROQUE SAENZ PEÑA,7. Htal. R. Saenz Peña,20064,10820842284080,10820842284080,8284080,III A,3,A,III A,Prematurez-BPEG (>1.500g),,Cirugia Gral,,1850,1,1,1,1,1,1,1,71,78,83,78,90,80,45,60,64,77,70,61,III / III      IIIA
82,SANTA FE,Htal. San Justo,SAMCO SAN JUSTO,15. Htal. San Justo,06831,10821122184197,10821122184197,8284197,II,2,,II,RN de término que no requiera cuidados especiales,,,,318,1,1,1,1,1,1,1,77,71,59,68,82,73,,,,,,,II / 0      II
82,SANTA FE,Htal. San Jorge,SAMCO SAN JORGE,14. Htal. San Jorge,06845,10821262184195,10821262184195,8284195,II,2,,II,RN de término que no requiera cuidados especiales,,,,209,1,1,1,1,1,1,1,75,70,46,55,38,59,,,,,,,II / 0      II
82,SANTA FE,"Htal. San Carlos,Casilda",HOSP SAN CARLOS,"9. Htal. San Carlos,Cas",06822,10820142184095,10820142184095,8284095,II,2,,II,RN de término que no requiera cuidados especiales,,,,387,1,1,1,1,1,1,1,83,87,74,60,80,80,,,,,,,II / 0      II
82,SANTA FE,Htal. Rafaela,SAMCO DR JAIME FERRE,4. Htal. Rafaela,01546,10820212184091,10820212184091,8284091,II,2,,III A,Prematurez-BPEG (>1.500g),,,,960,1,1,1,1,1,1,1,44,35,28,50,67,44,31,33,26,48,28,32,III / Ib      II
82,SANTA FE,Htal. Iturraspe,HOSP DR J. B. ITURRASPE,17. Htal. Iturraspe,01294,12820632184274,12820632184274,8284274,III B,3,B,III B,Prematurez-BPEG,Cons. Seguimiento,,,3131,1,1,1,1,1,1,1,76,72,76,68,89,77,90,88,71,80,81,83,III / III     IIIB
82,SANTA FE,Mat. Martin,MATERNIDAD MARTIN,8. Mat. Martin,10617,12820842284276,12820842284276,8284276,III B,3,B,III B,Prematurez-BPEG,Cons. Seguimiento,Cirugía Gral.,Neurocirugía,4486,1,1,1,1,1,1,1,85,91,81,86,89,87,79,84,73,77,65,75,III / III      IIIB
82,SANTA FE,Htal. San Cristobal,SAMCO SAN CRISTOBAL,22. Htal. San Cristobal,06703,10820912184192,10820912184192,8284192,II,2,,II,RN de término que no requiera cuidados especiales,,,,150,1,1,1,1,1,1,1,91,79,46,47,73,72,,,,,,,II / 0      II
