codmuer,anio,provre,count()
O000,2010,66,1
O001,2006,90,1
O001,2007,14,2
O009,2006,6,4
O009,2006,54,2
O009,2006,82,1
O009,2006,90,1
O009,2007,54,1
O009,2007,66,1
O009,2008,6,2
O009,2008,22,1
O009,2008,54,1
O009,2010,6,4
O009,2010,18,1
O009,2010,22,1
O009,2010,58,1
O019,2008,6,1
O019,2008,22,1
O019,2008,86,1
O019,2010,6,1
O020,2006,14,1
O021,2006,6,2
O021,2006,14,1
O021,2006,54,1
O021,2006,74,1
O021,2007,6,2
O021,2007,14,1
O021,2007,30,1
O021,2007,54,1
O021,2007,66,2
O021,2007,78,1
O021,2007,90,2
O021,2008,6,1
O021,2008,38,1
O021,2010,42,1
O021,2010,50,1
O021,2010,54,2
O021,2010,82,1
O021,2010,86,1
O021,2010,90,1
O029,2006,74,1
O030,2006,70,2
O030,2008,22,1
O031,2007,70,1
O035,2006,6,1
O035,2007,6,1
O035,2007,54,1
O036,2007,70,1
O036,2008,30,1
O038,2007,6,1
O038,2008,54,1
O039,2006,54,1
O039,2010,46,1
O039,2010,82,1
O050,2006,6,2
O050,2007,2,1
O050,2007,26,1
O050,2007,50,2
O050,2007,70,1
O050,2008,6,2
O050,2008,26,1
O050,2008,50,2
O050,2010,34,1
O050,2010,50,1
O050,2010,66,1
O050,2010,70,1
O053,2006,70,1
O053,2008,6,1
O054,2008,6,1
O054,2010,6,1
O055,2006,6,15
O055,2006,26,1
O055,2006,34,3
O055,2006,46,1
O055,2006,70,1
O055,2007,6,17
O055,2007,34,1
O055,2007,58,1
O055,2007,70,1
O055,2007,99,1
O055,2008,6,12
O055,2010,2,2
O055,2010,6,20
O056,2010,6,2
O058,2006,66,1
O058,2007,10,2
O058,2007,34,1
O058,2008,14,2
O058,2008,90,2
O059,2006,6,1
O059,2006,14,1
O059,2010,14,1
O059,2010,34,1
O060,2006,6,1
O060,2006,18,1
O060,2006,22,1
O060,2006,74,2
O060,2007,6,1
O060,2007,58,1
O060,2007,74,1
O060,2007,82,1
O060,2008,22,1
O060,2008,34,1
O060,2008,42,1
O060,2008,54,2
O060,2008,86,1
O060,2010,6,1
O060,2010,34,3
O060,2010,98,1
O061,2006,38,1
O062,2007,66,1
O063,2006,22,1
O063,2008,6,1
O063,2008,90,1
O063,2010,6,1
O064,2007,86,1
O065,2006,2,1
O065,2006,6,3
O065,2006,22,4
O065,2006,30,1
O065,2006,34,1
O065,2006,38,8
O065,2006,54,1
O065,2006,66,4
